name,description,classification,payment,link,incentives,identity,work / project management,governance,additional functionality (funds - dispute resolution)
Tally,Tally is an all-in-one tool that helps DAOs govern better.,DAO Developer Tools,Free,https://www.alchemy.com/dapps/tally,,,,,
Mint Kudos,Mint Kudos enables anyone to mint non-transferrable NFTs on Polygon to record contributions.,Web3 Achievements,Free,https://www.alchemy.com/dapps/mint-kudos,x,,,,
Collab.Land,Collab.Land is an NFT token gating bot for Telegram and Discord with over 6.5mm verified wallets.,"Token Gating Tools
DAO Developer Tools
DAO Reputation Tools",Free,https://www.alchemy.com/dapps/collab-land,x,x,,,
Juicebox,Juicebox is an Ethereum-based tool that provides DAO infrastructures.,DAO Developer Tools,Open-source,https://www.alchemy.com/dapps/juicebox,,,,,
Aragon,Aragon - a pioneering platform that enhances on-chain governance.,DAO Developer Tools,Free,https://www.alchemy.com/dapps/aragon,x,x,x,x,x
Boardroom,"Boardroom is a DAO manager helping members make faster, smarter, and more informed decisions","DAO Project Managemnet Tools
DAO Developer Tools",Freemium,https://www.alchemy.com/dapps/boardroom,,,,x,
Snapshot,Snapshot is a gasless decentralized voting protocol for DAOs.,DAO Developer Tools,Open-source,https://www.alchemy.com/dapps/snapshot,,,,x,
Upstream Collectives,Upstream Collectives - a simple no-code tool for building DAOs.,DAO Developer Tools,Open-source,https://www.alchemy.com/dapps/upstream-collectives,x,x,,x,x
DAOstack,DAOstack - a library of governance protocols and interfaces for scalable DAOs.,DAO Developer Tools,Open-source,https://www.alchemy.com/dapps/daostack,x,,x,x,x
Colony,Colony - a complete no-code toolkit for building DAOs.,DAO Developer Tools,Open-source,https://www.alchemy.com/dapps/colony,x,x,x,x,x
CREW³,Crew - a one-stop tool for onboarding and incentivization in DAOs.,DAO Developer Tools,Free,https://www.alchemy.com/dapps/crew-3,x,x,,,
Fabric,Fabric is the easiest way to crowdfund onchain.,DAO Developer Tools,Free,https://www.alchemy.com/dapps/fabric,,,,,x
Lore,"Lore enables collectives to spin up a shared vault, pool resources and own NFTs together.",DAO Developer Tools,Free,https://www.alchemy.com/dapps/lore-xyz,,,,,x
Sismo,"Sismo is a modular attestation protocol focused on decentralization, privacy, and usability.",Web3 Achievements,Open-source,https://www.alchemy.com/dapps/sismo,,x,,,x
Orange Protocol,Orange is a protocol that helps users create trust and build their reputation.,DAO Reputation Tools,Free,https://www.alchemy.com/dapps/orange-protocol,x,x,,,
Krebit,"With Krebit, users can prove their identity without revealing it.",DAO Reputation Tools,Free,https://www.alchemy.com/dapps/krebit,,x,,,
SourceCred,SourceCred is a tool that helps communities incentivize contributors for their work.,DAO Reputation Tools,Open-source,,x,,,,
Coordinape,Coordinape - a DAO-tooling infrastructure for an efficient reward distribution system.,DAO Reputation Tools,Free,https://www.alchemy.com/dapps/coordinape,x,,,,
Noox,Noox allows for the creation of customizable soulbound NFTs.,Web3 Achievements,Open-source,https://www.alchemy.com/dapps/noox,x,x,,,
Guild,Guild is an automated community creation and management tool.,DAO Developer Tools,Free,https://www.alchemy.com/dapps/guild,x,,x,,
Karma,Aggregate and curate DAO contributor activity and get visibility into DAO member contributions.,DAO Reputation Tools,Open-source,https://www.alchemy.com/dapps/karma,x,,x,,
Metopia,Web3 infrastructure that creates a data-based user reputation system for governance and rewards.,DAO Reputation Tools,Free,https://www.alchemy.com/dapps/metopia,x,x,,,
SOURC3,"SOURC3 is a Web3-native, decentralized platform for on-chain reputation management.",DAO Reputation Tools,Open-source,https://www.alchemy.com/dapps/sourc3,x,,,,
PNTHN,Track DAO member reputations and establish credibility in the NFT space.,DAO Reputation Tools,Freemium,https://www.alchemy.com/dapps/pnthn,x,,,,
Popula,Build and monetize your Web3 reputation through creation and social engagement.,DAO Reputation Tools,Open-source,https://www.alchemy.com/dapps/popula,x,,,,
Neighbourhoods Network,Provides tools and services for a new framework for creating and organizing online communities.,DAO Developer Tools,Freemium,https://www.alchemy.com/dapps/neighbourhoods-network,,x,x,,
Underdog Protocol,Underdog enables developers & projects to easily integrate dynamic NFTs into any product or workflow.,"DAO Reputation Tools
NFT Distribution Tools
NFT APIs",Free,https://www.alchemy.com/dapps/underdog-protocol,x,,,,
DeWork,"A web3-native project management tool, bounty platform, and professional network.",DAO Project Managemnet Tools,Free,https://www.alchemy.com/dapps/dework,x,,x,,
Wonderverse,Wonderverse is a DAO project management tool and Web3 credentialing platform.,DAO Project Managemnet Tools,Free,https://www.alchemy.com/dapps/wonderverse,x,x,x,,
CharmVerse,"CharmVerse is a Web3 operations platform handling docs, tasks, bounties, proposals, and votes.",DAO Project Managemnet Tools,Freemium,https://www.alchemy.com/dapps/charmverse,x,x,x,x,
0xStation,Submit paid bounties to DAOs and seamlessly manage talent and project pipelines.,DAO Project Managemnet Tools,Free,https://www.alchemy.com/dapps/0xstation,,,x,x,
Kleoverse,Kleoverse - a DAO project management and resume-building tool.,DAO Project Managemnet Tools,Free,https://www.alchemy.com/dapps/kleoverse,x,,x,,
DAOhaus,"DAOhaus allows communities to create a DAO and manage, grow, and distribute a shared treasury.",DAO Developer Tools,Free,https://www.alchemy.com/dapps/dao-haus,x,,,x,x
Commonwealth,"Commonwealth is a platform for on-chain communities to discuss, vote, and fund projects together. ",DAO Developer Tools,Open-source,https://www.alchemy.com/dapps/commonwealth,,,,x,x
FLOAT,Create events for your web3 communities and prove that they were actually there.,Web3 Achievements,Free,https://www.alchemy.com/dapps/floats,,x,x,,
Spect,Spect is a web3-enabled no-code tool that helps DAO contributors form circles (or sub-DAOs). ,"DAO Project Managemnet Tools
DAO Reputation Tools
DAO Developer Tools",Freemium,https://www.alchemy.com/dapps/spect,,x,,x,
Jelly,Jelly is a protocol for token rewards. ,"DAO Developer Tools
DeFi Yield Farming Platforms
EVM Tools","Free
Open-source",https://www.alchemy.com/dapps/jelly,x,,,,
mesha,mesha provides an all-in-one platform for DAOs and web3 companies to manage financial operations.,"Web3 Payment Tools
Web3 Credit Cards",Freemium,https://www.alchemy.com/dapps/mesha,,,x,x,x
Reveel,A revenue share protocol offering better pay-out functionalities for businesses & creators.,"Web3 Payment Tools
Music NFT Tools
Web3 SDKs
DAO Developer Tools","Freemium
Open-source",https://www.alchemy.com/dapps/r3vl,x,,,,x
Rain,Rain is a corporate credit card.,Web3 Credit Cards,Free,https://www.alchemy.com/dapps/rain,,,,,x
Spheron,"Connect, Configure & Decentralise your dApp on Web3 Infrastructure","DAO Developer Tools
Decentralized Storage Tools",Freemium,https://www.alchemy.com/dapps/SpheronHQ,,,x,x,
Portrait,"A protocol that allows users to create and control decentralized, no-code websites for Web3.","DAO Developer Tools
Web3 Creator Tools
Web3 Social Media Dapps
Decentralized Identity Tools","Freemium
Free",https://www.alchemy.com/dapps/portrait-gg,,,x,x,
Opencord,"Opencord is a Web3 native social platform built for DAOs.
","DAO Project Management Tools
DAO Reputation Tools
DAO Developer Tools","Free
Open-source",https://www.alchemy.com/dapps/opencord,x,x,,,
